Protocol,Message Length,Message Count,sleep,receivers,Total Time,Average
--------------------IVY------------------
ivy,10,100000,0,5,-------------,1.7597548961639404
ivy,10,100000,0,10,-------------,2.445763111114502
ivy,10,100000,0,15,-------------,4.709139823913574
ivy,10,100000,0,20,-------------,17.579296827316284
ivy,10,100000,0,25,-------------,18.434453010559082
ivy,10,100000,0,30,-------------,19.67480707168579
ivy,10,100000,0,35,Sender,23.86159896850586
ivy,10,100000,0,40,-------------,45.1096408367157 38.08428335189819
ivy,10,100000,0,45,Sender,wait
